abn,remuneration_quartile,reporting_period,avg_total_remuneration
99073566462,Lower quartile,2023 - 24,"68,000.00"
99073053273,Lower middle quartile,2024 - 25,"69,000.00"
99073053273,Upper quartile,2023 - 24,"86,000.00"
99073053273,Upper middle quartile,2023 - 24,"72,000.00"
99073053273,Total workforce,2023 - 24,"69,000.00"
99073053273,Lower quartile,2023 - 24,"53,000.00"
99070593378,Lower middle quartile,2024 - 25,"81,000.00"
99070593378,Upper quartile,2023 - 24,"111,000.00"
99070593378,Upper middle quartile,2024 - 25,"88,000.00"
99070593378,Total workforce,2023 - 24,"79,000.00"
99070593378,Lower quartile,2023 - 24,"61,000.00"
99068364269,Lower middle quartile,2024 - 25,"38,000.00"
99068364269,Upper quartile,2023 - 24,"63,000.00"
99068364269,Upper middle quartile,2023 - 24,"35,000.00"
99068364269,Total workforce,2023 - 24,"37,000.00"
99068364269,Lower quartile,2023 - 24,"21,000.00"
99066293472,Lower quartile,2024 - 25,"48,000.00"
99066293472,Lower middle quartile,2024 - 25,"62,000.00"
99066293472,Upper quartile,2023 - 24,"88,000.00"
99066293472,Upper middle quartile,2023 - 24,"65,000.00"
99066293472,Total workforce,2023 - 24,"62,000.00"
99062125034,Lower middle quartile,2024 - 25,"80,000.00"
99062125034,Upper quartile,2023 - 24,"128,000.00"
99062125034,Upper middle quartile,2024 - 25,"94,000.00"
99062125034,Total workforce,2023 - 24,"88,000.00"
99062125034,Lower quartile,2023 - 24,"64,000.00"
99060659182,Lower middle quartile,2024 - 25,"75,000.00"
99059357890,Lower middle quartile,2024 - 25,"104,000.00"
99059357890,Upper quartile,2023 - 24,"281,000.00"
99059357890,Upper middle quartile,2023 - 24,"124,000.00"
99059357890,Total workforce,2023 - 24,"144,000.00"
99059357890,Lower quartile,2023 - 24,"79,000.00"
99057292752,Lower middle quartile,2024 - 25,"100,000.00"
99057292752,Upper quartile,2023 - 24,"143,000.00"
99057292752,Upper middle quartile,2023 - 24,"110,000.00"
99057292752,Total workforce,2023 - 24,"98,000.00"
99057292752,Lower quartile,2023 - 24,"53,000.00"
99055141743,Lower middle quartile,2024 - 25,"77,000.00"
99055141743,Upper quartile,2023 - 24,"183,000.00"
99055141743,Upper middle quartile,2023 - 24,"85,000.00"
99055141743,Total workforce,2023 - 24,"101,000.00"
99055141743,Lower quartile,2023 - 24,"60,000.00"
99051588348,Lower middle quartile,2024 - 25,"140,000.00"
99051588348,Upper quartile,2023 - 24,"284,000.00"
99051588348,Upper middle quartile,2023 - 24,"168,000.00"
99051588348,Total workforce,2023 - 24,"174,000.00"
99051588348,Lower quartile,2023 - 24,"106,000.00"
99051252549,Upper quartile,2023 - 24,"260,000.00"
99051252549,Upper middle quartile,2023 - 24,"192,000.00"
99051252549,Total workforce,2023 - 24,"174,000.00"
99051252549,Lower quartile,2023 - 24,"99,000.00"
99051252549,Lower middle quartile,2023 - 24,"145,000.00"
99050059419,Lower middle quartile,2024 - 25,"85,000.00"
99050059419,Upper quartile,2023 - 24,"183,000.00"
99050059419,Upper middle quartile,2023 - 24,"105,000.00"
99050059419,Total workforce,2023 - 24,"108,000.00"
99050059419,Lower quartile,2023 - 24,"65,000.00"
99009657078,Lower middle quartile,2024 - 25,"71,000.00"
99009657078,Upper quartile,2023 - 24,"120,000.00"
99009657078,Upper middle quartile,2023 - 24,"79,000.00"
99009657078,Total workforce,2023 - 24,"83,000.00"
99009657078,Lower quartile,2023 - 24,"62,000.00"
99009558258,Lower quartile,2024 - 25,"57,000.00"
99009558258,Lower middle quartile,2024 - 25,"85,000.00"
99009558258,Upper quartile,2023 - 24,"126,000.00"
99009558258,Upper middle quartile,2023 - 24,"91,000.00"
99009558258,Total workforce,2023 - 24,"87,000.00"
99008610035,Lower middle quartile,2024 - 25,"98,000.00"
99008610035,Upper quartile,2023 - 24,"150,000.00"
99008610035,Upper middle quartile,2024 - 25,"112,000.00"
99008610035,Total workforce,2023 - 24,"108,000.00"
99008610035,Lower quartile,2023 - 24,"78,000.00"
99007835761,Lower middle quartile,2024 - 25,"161,000.00"
99007835761,Upper quartile,2023 - 24,"255,000.00"
99007835761,Upper middle quartile,2023 - 24,"188,000.00"
99007835761,Total workforce,2023 - 24,"177,000.00"
99007835761,Lower quartile,2023 - 24,"114,000.00"
99007286133,Lower middle quartile,2024 - 25,"72,000.00"
99007286133,Upper quartile,2023 - 24,"145,000.00"
99007286133,Upper middle quartile,2023 - 24,"89,000.00"
99007286133,Total workforce,2023 - 24,"91,000.00"
99007286133,Lower quartile,2023 - 24,"61,000.00"
99005585197,Lower middle quartile,2024 - 25,"63,000.00"
99005499721,Lower middle quartile,2024 - 25,"100,000.00"
99005499721,Upper quartile,2023 - 24,"210,000.00"
99005499721,Upper middle quartile,2023 - 24,"121,000.00"
99005499721,Total workforce,2023 - 24,"126,000.00"
99005499721,Lower quartile,2023 - 24,"76,000.00"
99004859821,Lower middle quartile,2024 - 25,"89,000.00"
99004859821,Upper quartile,2023 - 24,"154,000.00"
99004859821,Upper middle quartile,2023 - 24,"123,000.00"
99004859821,Total workforce,2023 - 24,"108,000.00"
99004859821,Lower quartile,2023 - 24,"67,000.00"
99004631752,Lower quartile,2024 - 25,"39,000.00"
99004631752,Lower middle quartile,2024 - 25,"49,000.00"
99004631752,Upper quartile,2023 - 24,"130,000.00"
99004631752,Upper middle quartile,2023 - 24,"60,000.00"
99004631752,Total workforce,2023 - 24,"68,000.00"
99004590005,Upper quartile,2023 - 24,"259,000.00"
99004590005,Upper middle quartile,2023 - 24,"187,000.00"
99004590005,Total workforce,2023 - 24,"177,000.00"
99004590005,Lower quartile,2023 - 24,"109,000.00"
99004590005,Lower middle quartile,2023 - 24,"155,000.00"
99004436542,Upper quartile,2023 - 24,"141,000.00"
99004436542,Upper middle quartile,2023 - 24,"110,000.00"
99004436542,Total workforce,2023 - 24,"109,000.00"
99004436542,Lower quartile,2023 - 24,"86,000.00"
99004436542,Lower middle quartile,2024 - 25,"100,000.00"
99004117828,Lower middle quartile,2024 - 25,"157,000.00"
99004117828,Upper quartile,2023 - 24,"289,000.00"
99004117828,Upper middle quartile,2023 - 24,"180,000.00"
99004117828,Total workforce,2023 - 24,"183,000.00"
99004117828,Lower quartile,2023 - 24,"111,000.00"
99003613134,Lower middle quartile,2024 - 25,"138,000.00"
99003613134,Upper quartile,2023 - 24,"224,000.00"
99003613134,Upper middle quartile,2023 - 24,"157,000.00"
99003613134,Total workforce,2023 - 24,"151,000.00"
99003613134,Lower quartile,2023 - 24,"96,000.00"
99003468219,Lower middle quartile,2024 - 25,"100,000.00"
99003468219,Upper quartile,2023 - 24,"309,000.00"
99003468219,Upper middle quartile,2023 - 24,"133,000.00"
99003468219,Total workforce,2023 - 24,"154,000.00"
99003468219,Lower quartile,2023 - 24,"77,000.00"
99002848580,Lower quartile,2024 - 25,"60,000.00"
99002848580,Lower middle quartile,2024 - 25,"65,000.00"
99002848580,Upper quartile,2023 - 24,"101,000.00"
99002848580,Upper middle quartile,2023 - 24,"70,000.00"
99002848580,Total workforce,2023 - 24,"72,000.00"
99002736352,Upper quartile,2023 - 24,"310,000.00"
99002736352,Upper middle quartile,2023 - 24,"244,000.00"
99002736352,Total workforce,2023 - 24,"217,000.00"
99002736352,Lower quartile,2023 - 24,"122,000.00"
99002736352,Lower middle quartile,2024 - 25,"194,000.00"
99001918252,Lower middle quartile,2024 - 25,"185,000.00"
99001918252,Upper quartile,2023 - 24,"487,000.00"
99001918252,Upper middle quartile,2023 - 24,"249,000.00"
99001918252,Total workforce,2023 - 24,"258,000.00"
99001918252,Lower quartile,2023 - 24,"124,000.00"
